直接/間接,排放型式,溫室氣體種類,原(燃)物料或產品代碼,原(燃)物料或產品名稱
直接,固定燃燒,CH4,170010,潤滑油
直接,固定燃燒,N2O,170010,潤滑油
直接,固定燃燒,CO2,170011,石油腦(輕油)
直接,固定燃燒,CH4,170011,石油腦(輕油)
直接,固定燃燒,N2O,170011,石油腦(輕油)
直接,固定燃燒,CO2,170013,片狀柏油(瀝青)
直接,固定燃燒,CH4,170013,片狀柏油(瀝青)
直接,固定燃燒,N2O,170013,片狀柏油(瀝青)
直接,固定燃燒,CO2,170014,乳狀瀝青，柏油
直接,固定燃燒,CH4,170014,乳狀瀝青，柏油
直接,固定燃燒,N2O,170014,乳狀瀝青，柏油
直接,固定燃燒,CO2,170017,柏油(瀝青)
直接,固定燃燒,CH4,170017,柏油(瀝青)
直接,固定燃燒,N2O,170017,柏油(瀝青)
直接,固定燃燒,CO2,170018,１～３號重油
直接,固定燃燒,CH4,170018,１～３號重油
直接,固定燃燒,N2O,170018,１～３號重油
直接,固定燃燒,CO2,170019,４～６號重油
直接,固定燃燒,CH4,170019,４～６號重油
直接,固定燃燒,N2O,170019,４～６號重油
直接,固定燃燒,CO2,170027,石蠟
直接,固定燃燒,CH4,170027,石蠟
直接,固定燃燒,N2O,170027,石蠟
直接,固定燃燒,CO2,170028,焦炭
直接,固定燃燒,CH4,170028,焦炭
直接,固定燃燒,N2O,170028,焦炭
直接,固定燃燒,CO2,170029,石油焦
直接,固定燃燒,CH4,170029,石油焦
直接,固定燃燒,N2O,170029,石油焦
直接,固定燃燒,CO2,170030,高級汽油
直接,固定燃燒,CH4,170030,高級汽油
直接,固定燃燒,N2O,170030,高級汽油
直接,固定燃燒,CO2,170031,92無鉛汽油
直接,固定燃燒,CH4,170031,92無鉛汽油
直接,固定燃燒,N2O,170031,92無鉛汽油
直接,固定燃燒,CO2,170032,95無鉛汽油
直接,固定燃燒,CH4,170032,95無鉛汽油
直接,固定燃燒,N2O,170032,95無鉛汽油
直接,固定燃燒,CO2,170033,98無鉛汽油
直接,固定燃燒,CH4,170033,98無鉛汽油
直接,固定燃燒,N2O,170033,98無鉛汽油
直接,固定燃燒,CO2,170036,石油腦(重油)
直接,固定燃燒,CH4,170036,石油腦(重油)
直接,固定燃燒,N2O,170036,石油腦(重油)
直接,固定燃燒,CO2,170040,二行程無鉛汽油
直接,固定燃燒,CH4,170040,二行程無鉛汽油
直接,固定燃燒,N2O,170040,二行程無鉛汽油
直接,固定燃燒,CO2,170042,煤塔
直接,固定燃燒,CH4,170042,煤塔
直接,固定燃燒,N2O,170042,煤塔
直接,固定燃燒,CO2,170099,其他汽油
直接,固定燃燒,CH4,170099,其他汽油
直接,固定燃燒,N2O,170099,其他汽油
直接,固定燃燒,CO2,180178,乙烷
直接,固定燃燒,CH4,180178,乙烷
直接,固定燃燒,N2O,180178,乙烷
直接,固定燃燒,CO2,180486,沼氣
直接,固定燃燒,CH4,180486,沼氣
直接,固定燃燒,N2O,180486,沼氣
直接,固定燃燒,CO2,330202,人造木炭
直接,固定燃燒,CH4,330202,人造木炭
直接,固定燃燒,N2O,330202,人造木炭
直接,固定燃燒,CO2,350008,液化石油氣
直接,固定燃燒,CH4,350008,液化石油氣
直接,固定燃燒,N2O,350008,液化石油氣
直接,固定燃燒,CO2,350014,煉焦爐氣
直接,固定燃燒,CH4,350014,煉焦爐氣
直接,固定燃燒,N2O,350014,煉焦爐氣
直接,固定燃燒,CO2,350016,精煉油氣
直接,固定燃燒,CH4,350016,精煉油氣
直接,固定燃燒,N2O,350016,精煉油氣
直接,固定燃燒,CO2,350017,高爐氣
直接,固定燃燒,CH4,350017,高爐氣
直接,固定燃燒,N2O,350017,高爐氣
直接,固定燃燒,CO2,D-0701,廢木材棧板
直接,固定燃燒,CH4,D-0701,廢木材棧板
直接,固定燃燒,N2O,D-0701,廢木材棧板
直接,固定燃燒,CO2,D-0799,廢木材混合物
直接,固定燃燒,CH4,D-0799,廢木材混合物
直接,固定燃燒,N2O,D-0799,廢木材混合物
直接,固定燃燒,CO2,D-1799,廢油混合物
直接,固定燃燒,CH4,D-1799,廢油混合物
直接,固定燃燒,N2O,D-1799,廢油混合物
直接,固定燃燒,CO2,GG0700,燃料－煤球
直接,固定燃燒,CH4,GG0700,燃料－煤球
直接,固定燃燒,N2O,GG0700,燃料－煤球
直接,固定燃燒,CO2,GG0701,燃料－油頁岩
直接,固定燃燒,CH4,GG0701,燃料－油頁岩
直接,固定燃燒,N2O,GG0701,燃料－油頁岩
直接,固定燃燒,CO2,GG0702,燃料－焦煤
直接,固定燃燒,CH4,GG0702,燃料－焦煤
直接,固定燃燒,N2O,GG0702,燃料－焦煤
直接,固定燃燒,CO2,GG0703,燃料－原料煤
直接,固定燃燒,CH4,GG0703,燃料－原料煤
直接,固定燃燒,N2O,GG0703,燃料－原料煤
直接,固定燃燒,CO2,GG0704,燃料－自產煤
直接,固定燃燒,CH4,GG0704,燃料－自產煤
直接,固定燃燒,N2O,GG0704,燃料－自產煤
直接,固定燃燒,CO2,GG1701,燃料－頁岩油
直接,固定燃燒,CH4,GG1701,燃料－頁岩油
直接,固定燃燒,N2O,GG1701,燃料－頁岩油
直接,固定燃燒,CO2,GG1702,燃料－奧里油
直接,固定燃燒,CH4,GG1702,燃料－奧里油
直接,固定燃燒,N2O,GG1702,燃料－奧里油
直接,固定燃燒,CO2,GG1799,其他油品
直接,固定燃燒,CH4,GG1799,其他油品
直接,固定燃燒,N2O,GG1799,其他油品
直接,固定燃燒,CO2,GG3800,廢棄物－有害事業廢棄物
直接,固定燃燒,CH4,GG3800,廢棄物－有害事業廢棄物
直接,固定燃燒,N2O,GG3800,廢棄物－有害事業廢棄物
直接,固定燃燒,CO2,GG3801,廢棄物－一般事業廢棄物
直接,固定燃燒,CH4,GG3801,廢棄物－一般事業廢棄物
直接,固定燃燒,N2O,GG3801,廢棄物－一般事業廢棄物
直接,固定燃燒,CO2,GG3869,其他氣態生質燃料
直接,固定燃燒,CH4,GG3869,其他氣態生質燃料
直接,固定燃燒,N2O,GG3869,其他氣態生質燃料
直接,固定燃燒,CO2,GG3879,其他液態生質燃料
直接,固定燃燒,CH4,GG3879,其他液態生質燃料
直接,固定燃燒,N2O,GG3879,其他液態生質燃料
直接,固定燃燒,CO2,GG3889,其他固態生質燃料
直接,固定燃燒,CH4,GG3889,其他固態生質燃料
直接,固定燃燒,N2O,GG3889,其他固態生質燃料
直接,固定燃燒,CO2,R-0701,廢木材
直接,固定燃燒,CH4,R-0701,廢木材
直接,固定燃燒,N2O,R-0701,廢木材
直接,移動燃燒,CH4,50002,天然氣
直接,移動燃燒,N2O,50002,天然氣
直接,移動燃燒,CO2,50004,液化天然氣
直接,移動燃燒,CO2,170001,車用汽油
直接,移動燃燒,CH4,170001,車用汽油
直接,移動燃燒,N2O,170001,車用汽油
直接,移動燃燒,CO2,170005,煤油
直接,移動燃燒,CH4,170005,煤油
直接,移動燃燒,N2O,170005,煤油
直接,移動燃燒,CO2,170006,柴油
直接,移動燃燒,CH4,170006,柴油
直接,移動燃燒,N2O,170006,柴油
直接,移動燃燒,CO2,170010,潤滑油
直接,移動燃燒,CO2,170030,高級汽油
直接,移動燃燒,CH4,170030,高級汽油
